This is a log file of a temperture control run being done in Physics 350. It records the temperature, power, the control bandwidth, and settle bandwidth parameters versus time.

11/10/2014
12:58 PM

DDD

Temp	Power	Setpoint	C. band	S. Band	Settle time
42.207	0.914	50.000	4.000	1.000	30.000
42.418	0.913	50.000	4.000	1.000	30.000
42.626	0.913	50.000	4.000	1.000	30.000
42.838	0.913	50.000	4.000	1.000	30.000
43.051	0.913	50.000	4.000	1.000	30.000
43.264	0.913	50.000	4.000	1.000	30.000
43.478	0.913	50.000	4.000	1.000	30.000
43.693	0.913	50.000	4.000	1.000	30.000
43.905	0.914	50.000	4.000	1.000	30.000
44.119	0.913	50.000	4.000	1.000	30.000
44.333	0.913	50.000	4.000	1.000	30.000
44.544	0.913	50.000	4.000	1.000	30.000
44.753	0.913	50.000	4.000	1.000	30.000
44.961	0.913	50.000	4.000	1.000	30.000
45.168	0.913	50.000	4.000	1.000	30.000
45.378	0.913	50.000	4.000	1.000	30.000
45.591	0.913	50.000	4.000	1.000	30.000
45.803	0.913	50.000	4.000	1.000	30.000
46.013	0.914	50.000	4.000	1.000	30.000
46.225	0.914	50.000	4.000	1.000	30.000
46.437	0.913	50.000	4.000	1.000	30.000
46.649	0.913	50.000	4.000	1.000	30.000
46.863	0.913	50.000	4.000	1.000	30.000
47.078	0.913	50.000	4.000	1.000	30.000
47.289	0.913	50.000	4.000	1.000	30.000
47.498	0.913	50.000	4.000	1.000	30.000
47.706	0.913	50.000	4.000	1.000	30.000
47.909	0.916	50.000	4.000	1.000	30.000
48.099	0.906	50.000	4.000	1.000	30.000
48.289	0.875	50.000	4.000	1.000	30.000
48.479	0.834	50.000	4.000	1.000	30.000
48.668	0.794	50.000	4.000	1.000	30.000
48.853	0.756	50.000	4.000	1.000	30.000
49.035	0.717	50.000	4.000	1.000	30.000
49.207	0.681	50.000	4.000	1.000	30.000
49.370	0.645	50.000	4.000	1.000	30.000
49.525	0.611	50.000	4.000	1.000	30.000
49.671	0.580	50.000	4.000	1.000	30.000
49.805	0.550	50.000	4.000	1.000	30.000
49.930	0.521	50.000	4.000	1.000	30.000
50.044	0.496	50.000	4.000	1.000	30.000
50.149	0.472	50.000	4.000	1.000	30.000
50.241	0.451	50.000	4.000	1.000	30.000
50.322	0.433	50.000	4.000	1.000	30.000
50.393	0.415	50.000	4.000	1.000	30.000
50.452	0.400	50.000	4.000	1.000	30.000
50.499	0.389	50.000	4.000	1.000	30.000
50.530	0.381	50.000	4.000	1.000	30.000
50.547	0.378	50.000	4.000	1.000	30.000
50.545	0.379	50.000	4.000	1.000	30.000
50.533	0.382	50.000	4.000	1.000	30.000
50.520	0.385	50.000	4.000	1.000	30.000
50.502	0.387	50.000	4.000	1.000	30.000
50.473	0.393	50.000	4.000	1.000	30.000
50.441	0.401	50.000	4.000	1.000	30.000
50.410	0.406	50.000	4.000	1.000	30.000
50.377	0.413	50.000	4.000	1.000	30.000
50.343	0.420	50.000	4.000	1.000	30.000
50.307	0.427	50.000	4.000	1.000	30.000
50.272	0.436	50.000	4.000	1.000	30.000
50.239	0.443	50.000	4.000	1.000	30.000
50.207	0.450	50.000	4.000	1.000	30.000
50.176	0.456	50.000	4.000	1.000	30.000
50.147	0.463	50.000	4.000	1.000	30.000
50.121	0.468	50.000	4.000	1.000	30.000
50.095	0.474	50.000	4.000	1.000	30.000
50.066	0.480	50.000	4.000	1.000	30.000
50.033	0.488	50.000	4.000	1.000	30.000
50.003	0.495	50.000	4.000	1.000	30.000
49.977	0.502	50.000	4.000	1.000	30.000
